league,group,enabled,superscore_table_url,ninetyminut_table_url
Ekstraklasa,,true,https://superscore.live/pl-PL/pilka-nozna/rozgrywki/ekstraklasa/0ayigwtr/klasyfikacja?season=33WqTu7gkUPTXyAK0iMzm,http://www.90minut.pl/liga/1/liga14675.html
1 Liga,,true,https://superscore.live/pl-PL/pilka-nozna/rozgrywki/i-liga/epo3jyw3/klasyfikacja?season=33bPCIgEKv63MQ0RRoPx7,http://www.90minut.pl/liga/1/liga14676.html
2 Liga,,true,https://superscore.live/pl-PL/pilka-nozna/rozgrywki/ii-liga/8qiy8yxl/klasyfikacja?season=33fxuk1JOt34NAYfWKDQt,http://www.90minut.pl/liga/1/liga14677.html
3 Liga,Group 1,,,
3 Liga,Group 2,true,https://superscore.live/pl-PL/pilka-nozna/rozgrywki/group-2-iii-liga/o3zprtqt/klasyfikacja?season=33iSwUHEPNQr8Iw9V6lFv,http://www.90minut.pl/liga/1/liga14743.html
3 Liga,Group 3,true,https://superscore.live/pl-PL/pilka-nozna/rozgrywki/group-3-iii-liga/6hr58mh1/klasyfikacja?season=33iSweIlTqu494wkP7W5f,http://www.90minut.pl/liga/1/liga14744.html
3 Liga,Group 4,true,https://superscore.live/pl-PL/pilka-nozna/rozgrywki/group-4-iii-liga/hbynhdlv/klasyfikacja?season=33iT29Lx6WGYPy3NskFCA,http://www.90minut.pl/liga/1/liga14745.html
4 Liga,Dolnoslaskie,,,
4 Liga,Kujawsko-Pomorskie,,,
4 Liga,Lubelskie,,,
4 Liga,Lubuskie,,,
4 Liga,Lodzkie,,,
4 Liga,Malopolskie,,,
4 Liga,Mazowieckie,,,
4 Liga,Opolskie,,,
4 Liga,Podkarpackie,,,
4 Liga,Podlaskie,,,
4 Liga,Pomorskie,,,
4 Liga,Slaskie,,,
4 Liga,Swietokrzyskie,,,
4 Liga,Warminsko-Mazurskie,,,
4 Liga,Wielkopolskie,,,
4 Liga,Zachodniopomorskie,,,
